Longitude,Latitude,SourceID,January,February,March,April,May,June,July,August,September,October,November,December
-81.627872,33.828011,02IR011GG06,0.0252,0.0555,0.081,0.1778,0.268,0.428,0.42,0.54,0.53,0.399,0.057,0.01
-81.628044,33.827642,02IR011GG07,0.0252,0.0555,0.081,0.1778,0.268,0.428,0.42,0.54,0.53,0.399,0.057,0.01
-81.623392,33.830156,02IR011GG09,0.05,0.0138,0.172,0.096,0.19,0.595,0.567,0.512,0.489,0.213,0.201,0
-81.623294,33.830175,02IR011GG10,0.05,0.0138,0.172,0.096,0.19,0.595,0.567,0.512,0.489,0.213,0.201,0
-81.622731,33.8237,02IR011GG11,0.05,0.0138,0.172,0.096,0.19,0.595,0.567,0.512,0.489,0.213,0.201,0
-81.622933,33.828889,02IR011GG12,0.05,0.0138,0.172,0.096,0.19,0.595,0.567,0.512,0.489,0.213,0.201,0
-81.623111,33.828544,02IR011GG13,0.05,0.0138,0.172,0.096,0.19,0.595,0.567,0.512,0.489,0.213,0.201,0
-81.623253,33.828231,02IR011GG14,0.05,0.0138,0.172,0.096,0.19,0.595,0.567,0.512,0.489,0.213,0.201,0
-81.623508,33.8279,02IR011GG15,0.05,0.0138,0.172,0.096,0.19,0.595,0.567,0.512,0.489,0.213,0.201,0
-81.623914,33.827081,02IR011GG16,0.05,0.0138,0.172,0.096,0.19,0.595,0.567,0.512,0.489,0.213,0.201,0
-81.627328,33.827372,02IR011GG20,0.0252,0.0555,0.081,0.1778,0.268,0.428,0.42,0.54,0.53,0.399,0.057,0.01
-81.626958,33.827275,02IR011GG21,0.0252,0.0555,0.081,0.1778,0.268,0.428,0.42,0.54,0.53,0.399,0.057,0.01
-81.626747,33.827603,02IR011GG22,0.0252,0.0555,0.081,0.1778,0.268,0.428,0.42,0.54,0.53,0.399,0.057,0.01
-81.626467,33.828122,02IR011GG23,0.0252,0.0555,0.081,0.1778,0.268,0.428,0.42,0.54,0.53,0.399,0.057,0.01
-81.626225,33.828606,02IR011GG24,0.0252,0.0555,0.081,0.1978,0.268,0.428,0.42,0.54,0.53,0.399,0.057,0.01
-81.625256,33.829181,02IR011GG25,0.0252,0.0555,0.081,0.1978,0.268,0.428,0.42,0.54,0.53,0.399,0.057,0.01
-81.625417,33.828867,02IR011GG26,0.0252,0.0555,0.081,0.1978,0.268,0.428,0.42,0.54,0.53,0.399,0.057,0.01
-81.625575,33.828547,02IR011GG27,0.0252,0.0555,0.081,0.1978,0.268,0.428,0.42,0.54,0.53,0.399,0.057,0.01
-81.625822,33.828142,02IR011GG28,0.0252,0.0555,0.081,0.1978,0.268,0.428,0.42,0.54,0.53,0.399,0.057,0.01
-81.626031,33.827839,02IR011GG29,0.0252,0.0555,0.0818,0.1978,0.268,0.428,0.42,0.54,0.53,0.399,0.057,0.01
-81.626228,33.827522,02IR011GG30,0.0252,0.0555,0.081,0.1778,0.268,0.428,0.42,0.54,0.53,0.399,0.057,0.01
-81.626503,33.826997,02IR011GG31,0.0252,0.0555,0.081,0.1778,0.268,0.428,0.42,0.54,0.53,0.399,0.057,0.01
-81.622553,33.828256,02IR011GG35,0.0252,0.0555,0.081,0.1778,0.268,0.428,0.42,0.54,0.53,0.399,0.057,0
-81.622219,33.828394,02IR011GG36,0.0252,0.0555,0.081,0.1778,0.268,0.428,0.42,0.54,0.53,0.399,0.057,0
-81.622317,33.827892,02IR011GG37,0.0252,0.0555,0.081,0.1778,0.268,0.428,0.42,0.54,0.53,0.399,0.057,0
-81.621792,33.827831,02IR011GG38,0.0252,0.0555,0.081,0.1778,0.268,0.428,0.42,0.54,0.53,0.399,0.057,0
-81.621364,33.827047,02IR011GG39,0.05,0.0138,0.172,0.096,0.19,0.595,0.567,0.512,0.489,0.213,0.201,0
-81.622822,33.827269,02IR011GG40,0.05,0.0138,0.172,0.096,0.19,0.595,0.567,0.512,0.489,0.213,0.201,0
-81.623686,33.827328,02IR011GG41,0.05,0.0138,0.172,0.096,0.19,0.595,0.567,0.512,0.489,0.213,0.201,0
-81.555261,33.537431,02IR019GG01,0.219,0.103,0.062,0.126,0.57,0.319,0.231,0.246,0.313,0.316,0.496,0.929
-81.552538,33.541082,02IR019GG02,0,0,0.16,5.309,15.609,11.267,2.422,3.899,3.524,4.197,0.293,0.011
-81.552778,33.531667,02IR019GG03,0,0,0.26,4.109,12.244,8.983,3.71,4.134,4.629,7.453,0.358,0
-81.553771,33.535088,02IR019GG04,0,0.009,0.367,6.031,11.25,8.269,4.189,4.109,3.877,5.138,0.549,0.039
-81.45456,33.52801,02IR025GG01,0,0,0,0,0,0,0,0,0,0,0,0
-81.234222,33.654369,02IR026GG01,0,0.106,0,0,2.973,8.387,2.229,0,0,0,0,0
-81.56599,33.52055,02IR029GG01,0,0,4.4,5.3,17,34,27.9,7.7,0.4,10.2,1.3,0
-81.55125,33.52362,02IR029GG02,0.2,2.6,7.8,6.1,17.5,49.1,34.8,20.4,15,8.2,2.7,2.7
-81.54493,33.52184,02IR029GG03,0,0,6.5,7.3,21.7,60,33.5,10.3,2.6,5,2,0.7
-81.54438,33.516,02IR029GG04,0.6,1,5.9,2.5,4.7,16.4,15.8,13.3,12,0.5,2.5,2
-81.54966,33.50928,02IR029GG05,0,1,5.8,5.3,16.9,43.7,28.8,6.9,0.7,5.8,1.1,0
-81.53809,33.51422,02IR029GG06,0,0,3.9,6,16.3,42.6,27.9,6.7,0.4,5.5,0.8,0
-81.361853,33.56809,02IR031GG01,0,0,0.9,0.98,5,9.3,3.8,0.2,0,0,0.9,1.8
-81.354327,33.568828,02IR031GG02,0,0,2.83,3.91,16,34.1,16.3,0.2,0,0,2.86,0
-81.381857,33.565328,02IR032GG01,0,1.2,12.4,19.7,23.1,31.8,27.5,29.1,23.8,12.1,4.4,0
-81.278147,33.614207,02IR036GG01,0,0,0,0,0,6.2,10,0,0,0,0,0
-81.249963,33.615601,02IR036GG02,0,0,0,0,0,5.1,10,0,0,0,0,0
-81.237665,33.637546,02IR036GG03,0,0,0,0,0,5,9.3,0,0,0,0,0
-81.247063,33.621677,02IR036GG04,0,0,0,0,0,0,5,0,0,0,0,0
#N/A,#N/A,02IR039GG01,0,0,0,0,0.5,0.5,0,0,0,0,0,0
-81.3638,33.530667,02IR041GG02,0,0,0,0.5,1,1,1.5,1.5,2.5,1,1,0
-81.360867,33.531333,02IR041GG03,0,0,0.5,0.5,1,1.5,1.5,2,2.5,1,1,0
-81.359017,33.5326,02IR041GG04,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,0.5,0.5
-81.3511,33.52545,02IR041GG05,0,0,1,0.5,1,2,2,2,2,1,0.5,0
-81.351317,33.525633,02IR041GG06,0,0,1,0.5,1,2,2,2,2,0.5,0.5,0
-81.356028,33.525806,02IR041GG07,0,0,1,0.5,1,2,2.5,2,2,0.5,0.5,0
-81.355833,33.525722,02IR041GG08,0,0,1,0.5,1,2,2,2,2,0.5,0.5,0
-81.45903,33.48207,02IR042GG01,0,0,2.26,0.4,1.2,8.2,8.6,7.16,8.5,4,0,0
-81.47178,33.48195,02IR042GG02,0,0.7,5.6,1.5,3.54,16.8,17.1,12.3,17.4,9.94,0,0
-81.50871,33.45957,02IR043GG01,4.2,4,0,5.5,24.5,31.6,19.2,8.9,10.5,6.4,4.8,0.7
-81.51334,33.45845,02IR043GG02,2.35,2.6,3.8,4.5,18.57,21,11.8,5.7,6.5,1.7,0,1.54
-81.527167,33.694528,02IR044GG01,0,0,0,0,2,4,4,2,0,0,0,0
-81.526585,33.694234,02IR044GG02,0,0,0,0,0,0,0,0,0,0,0,0
-81.456212,33.761369,02IR044GG03,0,0,0,0,0,0,0,0,0,0,0,0
-81.39532,33.47601,02IR045GG01,0,4.8132,1.56713,35.623,38.376,24.9496,3.985,6.1945,0,0,0,0
-81.3875,33.48011,02IR045GG02,0,3.1804,7.29314,23.044,29.4906,31.9355,17.6747,4.1989,0,0,0,0
-81.30515,33.608667,02IR047GG01,0,0,0,1,10,6,7,2,1,0,0,0
-81.316927,33.597556,02IR047GG02,0,0,0,16,22,30,14,10,10,1,0,0
-81.26878,33.599523,02IR047GG03,0,0,0,0,6,7,5,1,0,1,0,0
-81.306115,33.598964,02IR047GG04,0,0,0,2,3,3,3,2,0,0,0,0
-81.2618,33.597,02IR047GG06,0,0,0,0,10,10,10,7,2,0,0,0
-81.485748,33.436594,02IR049GG01,0,0,0,0,1.1,2.3,1.1,1.1,0,0,0,0
-81.4145,33.649965,02IR053GG01,0,0,3,4,6,7,7,7,4,0,0,0
-81.356494,33.518461,02IR054GG01,0,0,0,1,3,6,5.5,4,1.5,4.5,2.5,0
-81.490051,33.457995,02IR055GG01,0,0,0,0,0,0,0,0,0,0,0,0
-81.489167,33.456461,02IR055GG02,0,0,0,0,0,0,0,0,0,0,0,0
-81.35567,33.648753,02WS001GG02,2.9,2.72,2.74,2.46,2.65,0.94,1.3,1.03,0.98,1.02,0.95,0
-81.361162,33.651653,02WS001GG03,0,0,0,0,0,0,0,0,0,0,0,0
-81.369925,33.660524,02WS001GG04,0,0,0,0,0.03,1.62,1.03,1.04,1.8,1.22,1.91,1.14
-81.715969,33.654024,02WS002GG01,42.28,37.58,44.37,39.5,41.64,42.51,43.98,44.26,42.89,47.604,46.591,54.33
-81.705966,33.530195,02WS002GG02,14.5,11.63,12.21,14.97,18,21.72,23.82,21.44,24.03,23.17,20.46,20.28
-81.739555,33.510682,02WS002GG03,9.05,8.4,12.47,14.03,21.65,23.68,23.34,20.2,17.76,16.33,13.838,15.19
-81.70835,33.531958,02WS002GG04,14.5,11.62,12.21,14.97,17,21.72,23.81,21.44,24.03,23.17,20.46,20.29
-81.739824,33.507663,02WS002GG05,9.04,8.4,12.47,14.03,21.65,23.68,23.33,20.2,17.76,16.33,13.837,15.185
-81.70868,33.524899,02WS002GG06,14.5,11.62,12.21,14.97,17,21.72,23.81,21.44,24.03,23.17,20.46,20.28
-81.732111,33.507181,02WS002GG07,9.04,8.4,12.47,14.03,21.65,23.67,23.33,20.19,17.76,16.33,13.838,15.185
-81.730168,33.507166,02WS002GG08,9.04,8.4,12.47,14.03,21.65,23.67,23.33,20.19,17.76,16.33,13.837,15.19
-81.751836,33.493218,02WS002GG09,15.29,14.79,18.73,18.47,20.73,21.94,19.38,19.09,18.34,15.59,15.291,19.97
-81.747661,33.497102,02WS002GG10,15.29,14.79,18.73,18.47,20.74,21.94,19.39,19.08,19.34,15.58,15.29,13.96
-81.71474,33.393397,02WS003GG02,1,1,0.9,0.9,1.1,1.1,1.1,1.2,1,1.1,0.9,0.9
-81.749739,33.397598,02WS003GG03,2.5,2.1,1.1,1.4,0.7,1.6,1.4,2,2.5,2.8,1.1,1.1
-81.756328,33.396154,02WS003GG04,0.1,0.7,1.3,1,2.6,1.7,7.7,1,0.05,0.2,1.7,1.7
-81.869843,33.498518,02WS004GG01,1.436,0.715,0.766,0.822,0.937,1.046,0.907,0.814,0.713,0.72,0.616,0.893
-81.868612,33.50134,02WS004GG02,0.3,0.706,0.744,0.816,0.868,0.897,0.747,0.814,0.713,0.5838,0.5763,0.849
-81.839036,33.574006,02WS005GG02,4.616,4.006,4.248,4.693,5.303,6.291,4.832,4.715,5.209,4.23,4.675,5.78
-81.910506,33.500957,02WS005GG05,1.434,1.656,2.458,1.934,2.107,2.778,2.114,1.782,1.954,0.004,0,0.518
-81.848339,33.577079,02WS005GG06,2.3,3.678,2.204,2.458,2.859,3.459,2.751,2.565,2.435,2.283,0.143,0.69
-81.826041,33.553881,02WS005GG07,0.45,0.413,0.441,0.51,0.633,0.825,0.294,0.626,0.516,0.608,0.421,0.462
-81.847562,33.583767,02WS005GG09,1.935,1.916,2.02,2.236,2.542,3.163,1.857,2.218,2.143,2.127,2.225,2.751
-81.876291,33.523867,02WS005GG10,1.012,0.896,1.429,2.333,2.744,3.672,2.79,3.155,3.382,2.181,1.342,1.907
-81.92057,33.513875,02WS005GG11,1.677,1.893,2.827,2.138,2.161,2.696,2.2,2.044,2.284,2.497,1.663,1.932
-81.846111,33.569967,02WS005GG12,6.99,6.39,6.967,7.217,7.424,7.127,7.176,7.205,7.233,7.148,7.201,7.787
-81.877238,33.525113,02WS005GG13,4.234,4.568,6.482,4.421,3.948,6.239,5.266,5.237,5.823,6.159,4.228,4.218
-81.929297,33.523494,02WS005GG14,1.57,1.146,1.889,1.911,2.033,2.062,2.496,1.643,0,0,1.616,2.389
-81.849843,33.625054,02WS005GG15,3.848,3.686,4.229,4.425,4.288,4.424,4.459,4.482,4.473,4.438,4.51,4.254
-81.848573,33.620842,02WS005GG16,4.356,3.916,4.313,4.468,4.316,4.49,4.398,4.409,4.44,4.288,4.365,4.737
-81.842989,33.567354,02WS005GG17,2.009,2,2.306,2.593,2.944,1.937,3.941,3.848,3.483,3.414,3.611,3.774
-81.793865,33.541266,02WS006GG01,2.487,2,2.301,2.198,2.609,2.637,3.022,2.504,2.477,2.224,1.976,2.823
-81.814729,33.51589,02WS006GG02,4.171,3.805,4.342,4.84,5.265,6.259,6.045,5.464,4.848,4.505,4.066,5.201
-81.881058,33.488018,02WS006GG03,5.267,4.752,5.035,5.715,6.436,7.07,7.374,6.878,6.377,6.531,6.878,8.588
-81.769782,33.528009,02WS006GG05,2.716,2.638,3.383,4.916,6.14,6.808,6.853,6.706,5.382,5.172,3.235,6.856
-81.805833,33.515,02WS006GG07,18.174,16.272,13.542,7.784,10.719,13.852,13.112,13.222,12.328,11.941,10.911,6.368
-81.785437,33.521771,02WS008GG01,3.4206,2.8756,3.3954,3.7799,4.5411,4.9623,4.2112,4.0819,3.8205,3.5363,3.8015,2.8968
-81.849465,33.397731,02WS008GG02,7.23,6.661,7.834,7.504,8.366,9.226,9.684,9.346,8.735,7.886,7.633,8.35
-81.849309,33.453732,02WS008GG04,8.492,7.638,8.624,8.397,9.472,9.571,9.233,9.409,8.43,14.754,13.657,8.635
-81.847897,33.466208,02WS008GG05,0,0,0,0,0,13.592,0,0,0,0,0,0
-81.870353,33.436641,02WS008GG07,15.237,14.026,15.668,15.603,17.25,18.046,18.854,17.983,17.402,15.416,14.893,16.287
-81.818588,33.500893,02WS008GG08,11.333,10.148,12.516,13.353,17.012,9.167,17.445,17.367,15.833,14.754,11.737,13.74
-81.84236,33.512927,02WS009GG01,2.643,3.315,3.45,2.065,2.054,1.308,2.148,2.048,1.987,1.973,1.709,2.71
-81.840082,33.510535,02WS009GG02,0.514,0,0.058,1.446,1.41,2.818,1.684,1.513,1.345,1.348,1.256,1.588
-81.655654,33.548312,02WS011GG01,1.872,1.237,2.258,2.98,3.709,3.941,3.201,2.688,2.544,2.785,2.277,2.35
-81.652287,33.546731,02WS011GG02,1.65,5.42,5.337,6.585,7.943,7.74,7.069,7.083,6.854,6.476,5.223,6.022
-81.675412,33.580037,02WS011GG03,2.94,3.43,1.432,1.573,1.355,2.25,1.831,2.09,1.089,0.61,1.269,2.557
-81.764266,33.37222,02WS012GG03,7.2,6.3,6.7,7,7.7,8.1,8.1,8.3,8.2,7.6,7.3,7.8
-81.799981,33.347144,02WS012GG04,1.9,1.7,1.6,2,3.8,4.1,3.1,3,2.9,1.8,1.5,2.7
-81.847368,33.505579,02WS013GG01,0.071,0.286,0.943,0.991,1.8,1.369,1.295,1.546,1.79,1.693,1.895,0.862
-81.848009,33.508397,02WS013GG02,0.086,4.458,0.583,0.665,1.1,0.884,0.921,1.049,1.282,1.209,1.357,0.333
-81.845704,33.504109,02WS013GG03,5.993,0.279,1.153,1.188,1.803,1.812,1.678,1.943,2.177,2.207,1.971,5.015
-81.683158,33.419817,02WS014GG01,3.204,4.526,6.294,8.937,14.067,14.26,12.818,10.707,7.777,8.761,6.541,8.955
-81.683055,33.419042,02WS014GG02,14.255,10.368,10.834,8.89,8.478,8.704,9.511,10.247,11.268,9.919,8.757,8.204
-81.685365,33.465432,02WS014GG04,8.736,7.683,9.504,10.646,14.788,15.627,14.126,13.774,13.762,11.554,9.015,11.354
-81.304557,33.567762,02WS015GG01,0,0,0,0,0,0,0,0,0,0,0,0
-81.297842,33.565616,02WS015GG02,1,0.9,0.9,0.8,0.9,1.7,1,1,0.9,0.9,0.8,1.4
-81.305641,33.628126,02WS016GG03,0,0,0,0,0,0,0,0,0,0,0,0
-81.305719,33.627928,02WS016GG04,1.52,1.27,1.43,1.36,1.64,1.81,1.5,1.17,1.06,0.97,1.03,1.46
-81.30553,33.62803,02WS016GG05,1.72,1.3,1.56,1.73,2.76,1.97,1.48,1.12,1.18,1.11,1.11,1.6
-81.60474,33.84509,02WS017GG01,0.119,0.106,0.116,0.108,0.088,0.155,0.139,0.13,0.127,0.097,0.101,0.104
-81.603388,33.843829,02WS017GG03,0.136,0.121,0.133,0.123,0.1,0.177,0.159,0.149,0.145,0.111,0.116,0.119
-81.605622,33.841113,02WS017GG04,0,0,0,0,0,0,0,0,0,0,0,0
-81.606187,33.839665,02WS017GG05,0.023,0,0.018,0.011,0.012,0.02,0.028,0.017,0.019,0.018,0.014,0.009
-81.603728,33.839889,02WS017GG06,0.256,0.227,0.249,0.231,0.188,0.333,0.298,0.279,0.272,0.208,0.218,0.209
-81.605848,33.836543,02WS017GG07,0.239,0.212,0.233,0.216,0.176,0.311,0.278,0.26,0.254,0.194,0.203,0.208
-81.60423,33.836651,02WS017GG08,0.341,0.302,0.333,0.308,0.251,0.444,0.397,0.372,0.363,0.278,0.291,0.297
-81.600064,33.837643,02WS017GG09,0.222,0.196,0.216,0.2,0.163,0.289,0.258,0.242,0.236,0.18,0.189,0.193
-81.696594,33.494856,02WS018GG01,0,0,0,0,0,0,0,0,0,0,0,0
-81.696821,33.494725,02WS018GG02,0,0,0,0,0,0,0,0,0,0,0,0
-81.698419,33.493721,02WS018GG03,0,0,0.292,0.385,0.046,0.012,0.748,0.045,0.111,0.165,0.236,0.236
-81.694991,33.494793,02WS018GG04,0,0,0,0,0.17,0.218,0.152,0.333,0.853,0.468,0.162,0.137
-81.696295,33.494436,02WS018GG05,2.535,3.04,2.525,3.621,6.55,6.47,5.866,3.93,3.44,5.731,4.269,4.717
-81.482941,33.699526,02WS019GG01,1.5,1.5,1.4,1.2,1.4,1.7,2,1.5,1.3,1.3,1.2,1.4
-81.482812,33.699597,02WS019GG02,0,0,0,0,0,0,0,0,0,0,0,0
-81.70697,33.340446,02WS020GG01,0,0,0,0,0,0,0,0,0,0,0,0
-81.710242,33.340348,02WS020GG02,19.725,21.625,21.117,23.081,29.503,25.681,25.758,28.765,24.872,22.671,21.789,22.973
-81.722814,33.287186,02WS021GG01,0,0,0.343,0,0,0,0,0,0,0.72475,1.16585,1.680875
-81.72379,33.285553,02WS021GG02,0,0,0.343,0,0,0,0,0,0,0.72475,1.16585,1.680875
-81.684337,33.38001,02WS023GG03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
-81.762626,33.307224,02WS023GG05,0,0,0,0,0,0,0,0,0,0,0,0
-81.692962,33.26038,02WS023GG07,0.138,0.125,0.138,0.134,0.138,0.134,0.134,0.134,0.134,0.134,0.134,0.134
-81.743026,33.268811,02WS023GG11,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
-81.732134,33.224581,02WS023GG12,0,0,0,0,0,0,0,0,0,0,0,0
-81.72288,33.349481,02WS023GG14,0,0,0,0,0,0,0,0,0,0,0,0
-81.762626,33.307224,02WS023GG16,0.009,0.008,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009
-81.773751,33.593963,02WS028GG01,0.011,0.004,0.628,1.528,1.872,2.388,2.29,2.277,2.135,2.03,1.849,1.715
-81.776999,33.597174,02WS028GG02,0.026,0.006,1.5,3.655,4.484,4.677,4.328,4.264,3.983,3.774,3.446,3.295
-81.775262,33.595399,02WS028GG03,0.024,0.006,0.999,2.383,2.924,3.72,3.555,3.527,3.299,3.12,2.845,2.727
-81.781919,33.597928,02WS028GG04,0.017,0.023,1.512,3.654,4.498,5.697,5.432,5.412,4.876,4.576,4.396,4.144
-81.481404,33.042397,03IN001GG01,40.194,38.367,41.325,36.888,49.155,47.067,44.631,47.154,49.764,48.72,36.366,35.844
-81.483051,33.038347,03IN001GG03,0,0,0,0,0,0,0,0,0,0,0,0
-81.28702,32.854501,03IR001GG01,0,0,0,3.24,9.72,32.4,32.4,19.44,1.95,0,0,0
-81.297707,32.813,03IR001GG02,0,0,0,1.07,3.23,8.6,10.75,4.3,3.01,0,0,0
-81.290436,32.820805,03IR001GG03,0,0,0,0.56,1.68,4.48,4.48,3.36,0.56,0,0,0
-81.418889,33.096667,03IR002GG02,0,0,0,0,0,1,1,1,0,0,0,0
-81.418889,33.096667,03IR002GG05,0,0,0,0,0,0,0,0,0,0,0,0
